candidate,frequency,links
point cloud,1,wikidata.org/wiki/Q1899648;wikidata.org/wiki/Q4817319;wikidata.org/wiki/Q104828509;wikidata.org/wiki/Q31698078;wikidata.org/wiki/Q34782711;wikidata.org/wiki/Q110086842;wikidata.org/wiki/Q110971942;wikidata.org/wiki/Q105864751;wikidata.org/wiki/Q2816469;wikidata.org/wiki/Q76470834
cloud datum,1,wikidata.org/wiki/Q60022217;wikidata.org/wiki/Q5135661;wikidata.org/wiki/Q60167770;wikidata.org/wiki/Q30592605;wikidata.org/wiki/Q60149187;wikidata.org/wiki/Q18350420;wikidata.org/wiki/Q55632076;wikidata.org/wiki/Q105864751;wikidata.org/wiki/Q47472030;wikidata.org/wiki/Q515701
reflective subfibration l,2,
reflective subfibration,2,
subfibration l,2,
local map,1,wikidata.org/wiki/Q863756;wikidata.org/wiki/Q58570052;wikidata.org/wiki/Q57732195;wikidata.org/wiki/Q59609740;wikidata.org/wiki/Q57732167;wikidata.org/wiki/Q62517013;wikidata.org/wiki/Q34258186;wikidata.org/wiki/Q36611371;wikidata.org/wiki/Q42015162;wikidata.org/wiki/Q41155532
homotopy invariance,1,wikidata.org/wiki/Q33634014;wikidata.org/wiki/Q115194520;wikidata.org/wiki/Q115388731;wikidata.org/wiki/Q113691979
equivariant principal bundle,1,
principal bundle,2,wikidata.org/wiki/Q17099025;wikidata.org/wiki/Q1062978;wikidata.org/wiki/Q113822457;wikidata.org/wiki/Q116132997;wikidata.org/wiki/Q102988137;wikidata.org/wiki/Q2920850;wikidata.org/wiki/Q17104225;wikidata.org/wiki/Q1365548;wikidata.org/wiki/Q5128445;wikidata.org/wiki/Q115354444
equivariant a,1,wikidata.org/wiki/Q17012383;wikidata.org/wiki/Q16909066;wikidata.org/wiki/Q16908668;wikidata.org/wiki/Q15734022;wikidata.org/wiki/Q5384738;wikidata.org/wiki/Q59577024;wikidata.org/wiki/Q5384737;wikidata.org/wiki/Q17010845;wikidata.org/wiki/Q16874412;wikidata.org/wiki/Q19597765
Schnirelmann category,1,wikidata.org/wiki/Q2361277;wikidata.org/wiki/Q4395661;wikidata.org/wiki/Q108267725;wikidata.org/wiki/Q59649923;wikidata.org/wiki/Q59649922;wikidata.org/wiki/Q108294209;wikidata.org/wiki/Q4525837;wikidata.org/wiki/Q115340868;wikidata.org/wiki/Q115393867;wikidata.org/wiki/Q47515065
invariant topological complexity,1,
topological complexity,2,wikidata.org/wiki/Q7825025;wikidata.org/wiki/Q71082939;wikidata.org/wiki/Q83925360;wikidata.org/wiki/Q92232057;wikidata.org/wiki/Q60302997;wikidata.org/wiki/Q91545040;wikidata.org/wiki/Q59796198;wikidata.org/wiki/Q4419838;wikidata.org/wiki/Q115546073;wikidata.org/wiki/Q35674031
boolean category,4,wikidata.org/wiki/Q48230149;wikidata.org/wiki/Q52143334;wikidata.org/wiki/Q5499761;wikidata.org/wiki/Q1994977;wikidata.org/wiki/Q6802072;wikidata.org/wiki/Q173494;wikidata.org/wiki/Q7139261;wikidata.org/wiki/Q817862;wikidata.org/wiki/Q377276;wikidata.org/wiki/Q461528
boolean algebra,4,wikidata.org/wiki/Q173183;wikidata.org/wiki/Q4973304;wikidata.org/wiki/Q7858706;wikidata.org/wiki/Q18386550;wikidata.org/wiki/Q5156447;wikidata.org/wiki/Q25193664;wikidata.org/wiki/Q5499761;wikidata.org/wiki/Q6897884;wikidata.org/wiki/Q7315522;wikidata.org/wiki/Q11059585;wikidata.org/wiki/Q173183;wikidata.org/wiki/Q4973304;wikidata.org/wiki/Q7858706;wikidata.org/wiki/Q18386550;wikidata.org/wiki/Q5156447;wikidata.org/wiki/Q25193664;wikidata.org/wiki/Q5499761;wikidata.org/wiki/Q6897884;wikidata.org/wiki/Q7315522;wikidata.org/wiki/Q11059585
abstract algebraic structure,1,wikidata.org/wiki/Q159943;wikidata.org/wiki/Q5262620;wikidata.org/wiki/Q1455652;wikidata.org/wiki/Q161172;wikidata.org/wiki/Q2315394;wikidata.org/wiki/Q13220368;wikidata.org/wiki/Q2746792;wikidata.org/wiki/Q4669958;wikidata.org/wiki/Q125977;wikidata.org/wiki/Q7888360
algebraic structure,8,wikidata.org/wiki/Q205464;wikidata.org/wiki/Q98077919;wikidata.org/wiki/Q5166737;wikidata.org/wiki/Q6853740;wikidata.org/wiki/Q7687981;wikidata.org/wiki/Q5262620;wikidata.org/wiki/Q5642657;wikidata.org/wiki/Q1729838;wikidata.org/wiki/Q7534803;wikidata.org/wiki/Q97152390
same sense,1,wikidata.org/wiki/Q46869746;wikidata.org/wiki/Q1362279;wikidata.org/wiki/Q50430208;wikidata.org/wiki/Q622825;wikidata.org/wiki/Q37685397;wikidata.org/wiki/Q192808;wikidata.org/wiki/Q5051871;wikidata.org/wiki/Q114110197;wikidata.org/wiki/Q34351882;wikidata.org/wiki/Q30545792
cartesian closed category,7,wikidata.org/wiki/Q1725874;wikidata.org/wiki/Q30590669;wikidata.org/wiki/Q62038109;wikidata.org/wiki/Q113317912;wikidata.org/wiki/Q113317442;wikidata.org/wiki/Q56172124;wikidata.org/wiki/Q56228325;wikidata.org/wiki/Q113318090;wikidata.org/wiki/Q62125660;wikidata.org/wiki/Q58917779;wikidata.org/wiki/Q1725874;wikidata.org/wiki/Q30590669;wikidata.org/wiki/Q62038109;wikidata.org/wiki/Q113317912;wikidata.org/wiki/Q113317442;wikidata.org/wiki/Q56172124;wikidata.org/wiki/Q56228325;wikidata.org/wiki/Q113318090;wikidata.org/wiki/Q62125660;wikidata.org/wiki/Q58917779
closed category,24,wikidata.org/wiki/Q5135329;wikidata.org/wiki/Q1725874;wikidata.org/wiki/Q5155301;wikidata.org/wiki/Q5635168;wikidata.org/wiki/Q4544973;wikidata.org/wiki/Q25885956;wikidata.org/wiki/Q30590669;wikidata.org/wiki/Q7145062;wikidata.org/wiki/Q8085743;wikidata.org/wiki/Q5135347
intuitionistic logic,2,wikidata.org/wiki/Q176786;wikidata.org/wiki/Q5361594;wikidata.org/wiki/Q79454362;wikidata.org/wiki/Q28866774;wikidata.org/wiki/Q55891978;wikidata.org/wiki/Q58573218;wikidata.org/wiki/Q59902371;wikidata.org/wiki/Q3552056;wikidata.org/wiki/Q59646838;wikidata.org/wiki/Q113751504
linear logic,11,wikidata.org/wiki/Q841728;wikidata.org/wiki/Q28470256;wikidata.org/wiki/Q5270532;wikidata.org/wiki/Q59574421;wikidata.org/wiki/Q5141363;wikidata.org/wiki/Q56391423;wikidata.org/wiki/Q56443860;wikidata.org/wiki/Q59410904;wikidata.org/wiki/Q56994583;wikidata.org/wiki/Q56994486
recent work,4,wikidata.org/wiki/Q116161759;wikidata.org/wiki/Q26363749;wikidata.org/wiki/Q115040049;wikidata.org/wiki/Q51428310;wikidata.org/wiki/Q109658723;wikidata.org/wiki/Q114399411;wikidata.org/wiki/Q74317456;wikidata.org/wiki/Q79271621;wikidata.org/wiki/Q56152257;wikidata.org/wiki/Q79271654
canonical axiomatisation,1,
possible such axiomatisation,1,
such axiomatisation,1,wikidata.org/wiki/Q1187945;wikidata.org/wiki/Q59557045;wikidata.org/wiki/Q55921812;wikidata.org/wiki/Q64356750;wikidata.org/wiki/Q20873885;wikidata.org/wiki/Q191849;wikidata.org/wiki/Q20821272;wikidata.org/wiki/Q113858282;wikidata.org/wiki/Q112867564;wikidata.org/wiki/Q112952782
medial map,1,wikidata.org/wiki/Q37515125;wikidata.org/wiki/Q83836743;wikidata.org/wiki/Q57068049;wikidata.org/wiki/Q30410414;wikidata.org/wiki/Q91724158;wikidata.org/wiki/Q49136385;wikidata.org/wiki/Q96129517;wikidata.org/wiki/Q33892378;wikidata.org/wiki/Q48495642;wikidata.org/wiki/Q28345074
inference rule,1,wikidata.org/wiki/Q19728993;wikidata.org/wiki/Q1068763;wikidata.org/wiki/Q19720140;wikidata.org/wiki/Q28381790;wikidata.org/wiki/Q18400501;wikidata.org/wiki/Q4548693;wikidata.org/wiki/Q3459697;wikidata.org/wiki/Q4669893;wikidata.org/wiki/Q1361787;wikidata.org/wiki/Q5420356
free deductive system,1,
deductive system,3,wikidata.org/wiki/Q3322159;wikidata.org/wiki/Q17488292;wikidata.org/wiki/Q910361;wikidata.org/wiki/Q58049253;wikidata.org/wiki/Q98757952;wikidata.org/wiki/Q56021178;wikidata.org/wiki/Q99601248;wikidata.org/wiki/Q99994468;wikidata.org/wiki/Q1182254;wikidata.org/wiki/Q7663659
boolean logic,1,wikidata.org/wiki/Q28500947;wikidata.org/wiki/Q173183;wikidata.org/wiki/Q1291626;wikidata.org/wiki/Q173494;wikidata.org/wiki/Q38092781;wikidata.org/wiki/Q73819575;wikidata.org/wiki/Q91219865;wikidata.org/wiki/Q56387644;wikidata.org/wiki/Q90169196;wikidata.org/wiki/Q61711321
proof net,4,wikidata.org/wiki/Q62472269;wikidata.org/wiki/Q57006631;wikidata.org/wiki/Q60300396;wikidata.org/wiki/Q98731728;wikidata.org/wiki/Q113691854;wikidata.org/wiki/Q52700469;wikidata.org/wiki/Q114017517;wikidata.org/wiki/Q113694845;wikidata.org/wiki/Q56113480;wikidata.org/wiki/Q113848392
behaved example,1,
right exact functor,2,wikidata.org/wiki/Q72421937
exact functor,4,wikidata.org/wiki/Q72421937;wikidata.org/wiki/Q381725;wikidata.org/wiki/Q114117147;wikidata.org/wiki/Q17003613;wikidata.org/wiki/Q7825036
category c,20,wikidata.org/wiki/Q10729142;wikidata.org/wiki/Q28123617;wikidata.org/wiki/Q3679261;wikidata.org/wiki/Q61;wikidata.org/wiki/Q1022293;wikidata.org/wiki/Q1543;wikidata.org/wiki/Q83284310;wikidata.org/wiki/Q217413;wikidata.org/wiki/Q25267;wikidata.org/wiki/Q5051840
object b,2,wikidata.org/wiki/Q83567390;wikidata.org/wiki/Q78954180;wikidata.org/wiki/Q146078;wikidata.org/wiki/Q94539568;wikidata.org/wiki/Q651641;wikidata.org/wiki/Q207977;wikidata.org/wiki/Q204194;wikidata.org/wiki/Q251;wikidata.org/wiki/Q335261;wikidata.org/wiki/Q26540
category pt(c,1,wikidata.org/wiki/Q45;wikidata.org/wiki/Q128446;wikidata.org/wiki/Q922399;wikidata.org/wiki/Q422327;wikidata.org/wiki/Q1046867;wikidata.org/wiki/Q415588;wikidata.org/wiki/Q412415;wikidata.org/wiki/Q245966;wikidata.org/wiki/Q25263;wikidata.org/wiki/Q11123
pointed object,4,wikidata.org/wiki/Q50982832;wikidata.org/wiki/Q43808446;wikidata.org/wiki/Q88346385;wikidata.org/wiki/Q113509645;wikidata.org/wiki/Q91431286;wikidata.org/wiki/Q464643;wikidata.org/wiki/Q103980280;wikidata.org/wiki/Q116749848;wikidata.org/wiki/Q116749989;wikidata.org/wiki/Q115835327
comma category,1,wikidata.org/wiki/Q1780005;wikidata.org/wiki/Q115948566;wikidata.org/wiki/Q161736;wikidata.org/wiki/Q1115006;wikidata.org/wiki/Q1075846;wikidata.org/wiki/Q13477770;wikidata.org/wiki/Q2342952;wikidata.org/wiki/Q14395443;wikidata.org/wiki/Q29616995;wikidata.org/wiki/Q540508
universal algebra,13,wikidata.org/wiki/Q4867565;wikidata.org/wiki/Q59398256;wikidata.org/wiki/Q114233812;wikidata.org/wiki/Q56806200;wikidata.org/wiki/Q106095137;wikidata.org/wiki/Q1636734;wikidata.org/wiki/Q2296021;wikidata.org/wiki/Q2589508;wikidata.org/wiki/Q18386809;wikidata.org/wiki/Q113906387
single free algebra,1,
free algebra,3,wikidata.org/wiki/Q5500180;wikidata.org/wiki/Q6519090;wikidata.org/wiki/Q5499906;wikidata.org/wiki/Q5499761;wikidata.org/wiki/Q105693364;wikidata.org/wiki/Q4867565;wikidata.org/wiki/Q63284555;wikidata.org/wiki/Q5876047;wikidata.org/wiki/Q2051587;wikidata.org/wiki/Q20665026
empty set,1,wikidata.org/wiki/Q226183;wikidata.org/wiki/Q7068971;wikidata.org/wiki/Q39604693;wikidata.org/wiki/Q2045366;wikidata.org/wiki/Q86098365;wikidata.org/wiki/Q2295354;wikidata.org/wiki/Q10533491;wikidata.org/wiki/Q17085878;wikidata.org/wiki/Q31830194;wikidata.org/wiki/Q25968481
generalized space,1,wikidata.org/wiki/Q58858471;wikidata.org/wiki/Q59321046;wikidata.org/wiki/Q36430892;wikidata.org/wiki/Q36439336;wikidata.org/wiki/Q4890921;wikidata.org/wiki/Q7242162;wikidata.org/wiki/Q112913803;wikidata.org/wiki/Q305936;wikidata.org/wiki/Q5532436;wikidata.org/wiki/Q382698
decidable topos,1,
natural common generalization,1,
common generalization,3,wikidata.org/wiki/Q56503420;wikidata.org/wiki/Q170084;wikidata.org/wiki/Q29398732;wikidata.org/wiki/Q72598486;wikidata.org/wiki/Q59293418;wikidata.org/wiki/Q34054509;wikidata.org/wiki/Q48397789;wikidata.org/wiki/Q40159027;wikidata.org/wiki/Q52215780;wikidata.org/wiki/Q51916420
idempotent identity,1,wikidata.org/wiki/Q39488189
way site,1,wikidata.org/wiki/Q38888;wikidata.org/wiki/Q2962473;wikidata.org/wiki/Q1878737;wikidata.org/wiki/Q66976180;wikidata.org/wiki/Q105046711;wikidata.org/wiki/Q17640829;wikidata.org/wiki/Q106580317;wikidata.org/wiki/Q17648152;wikidata.org/wiki/Q17673511;wikidata.org/wiki/Q17650121
other hand,7,wikidata.org/wiki/Q7755488;wikidata.org/wiki/Q7091449;wikidata.org/wiki/Q7091451;wikidata.org/wiki/Q1562789;wikidata.org/wiki/Q60412563;wikidata.org/wiki/Q2025762;wikidata.org/wiki/Q76476475;wikidata.org/wiki/Q5464759;wikidata.org/wiki/Q77209739;wikidata.org/wiki/Q37142736
way site,1,wikidata.org/wiki/Q2962473;wikidata.org/wiki/Q5122296;wikidata.org/wiki/Q38888;wikidata.org/wiki/Q1878737;wikidata.org/wiki/Q105100012;wikidata.org/wiki/Q106580317;wikidata.org/wiki/Q105046711;wikidata.org/wiki/Q112869842;wikidata.org/wiki/Q5684;wikidata.org/wiki/Q17670169
site criterion,1,wikidata.org/wiki/Q20085689;wikidata.org/wiki/Q55762481;wikidata.org/wiki/Q60541791;wikidata.org/wiki/Q86751994;wikidata.org/wiki/Q83110682;wikidata.org/wiki/Q98789923;wikidata.org/wiki/Q47276563;wikidata.org/wiki/Q67896533;wikidata.org/wiki/Q45105493;wikidata.org/wiki/Q48469500
subcanonical site,1,
Frobenius object,4,wikidata.org/wiki/Q106452590;wikidata.org/wiki/Q47518075
Frobenius object,3,wikidata.org/wiki/Q106452590;wikidata.org/wiki/Q47518075
monoidal category m,2,wikidata.org/wiki/Q1945014;wikidata.org/wiki/Q2943034;wikidata.org/wiki/Q17103860;wikidata.org/wiki/Q18205845;wikidata.org/wiki/Q5208531;wikidata.org/wiki/Q5135347;wikidata.org/wiki/Q17104253;wikidata.org/wiki/Q6901645;wikidata.org/wiki/Q7683609;wikidata.org/wiki/Q6901642
monoidal category,57,wikidata.org/wiki/Q1945014;wikidata.org/wiki/Q2943034;wikidata.org/wiki/Q18205845;wikidata.org/wiki/Q17103860;wikidata.org/wiki/Q5208531;wikidata.org/wiki/Q20809078;wikidata.org/wiki/Q5135347;wikidata.org/wiki/Q17104253;wikidata.org/wiki/Q7683609;wikidata.org/wiki/Q5062222
category m,5,wikidata.org/wiki/Q217413;wikidata.org/wiki/Q25517;wikidata.org/wiki/Q980357;wikidata.org/wiki/Q2091008;wikidata.org/wiki/Q13164;wikidata.org/wiki/Q312255;wikidata.org/wiki/Q22669757;wikidata.org/wiki/Q903471;wikidata.org/wiki/Q29573;wikidata.org/wiki/Q79451
right adjoint,7,wikidata.org/wiki/Q357858;wikidata.org/wiki/Q57861184
category d,5,wikidata.org/wiki/Q28123618;wikidata.org/wiki/Q3679274;wikidata.org/wiki/Q4167836;wikidata.org/wiki/Q752297;wikidata.org/wiki/Q83284515;wikidata.org/wiki/Q54883881;wikidata.org/wiki/Q1124006;wikidata.org/wiki/Q108699584;wikidata.org/wiki/Q4138762;wikidata.org/wiki/Q6641911
2d topological quantum,1,wikidata.org/wiki/Q86694894;wikidata.org/wiki/Q90432130;wikidata.org/wiki/Q86849969;wikidata.org/wiki/Q61443103;wikidata.org/wiki/Q85197949;wikidata.org/wiki/Q35863607;wikidata.org/wiki/Q34011289;wikidata.org/wiki/Q74410592;wikidata.org/wiki/Q50196359;wikidata.org/wiki/Q34944026
topological quantum field,1,wikidata.org/wiki/Q721094;wikidata.org/wiki/Q16910990;wikidata.org/wiki/Q56270324;wikidata.org/wiki/Q55880680;wikidata.org/wiki/Q57602585;wikidata.org/wiki/Q56814114;wikidata.org/wiki/Q59708359;wikidata.org/wiki/Q74413711;wikidata.org/wiki/Q59469835;wikidata.org/wiki/Q66714349
topological quantum,1,wikidata.org/wiki/Q721094;wikidata.org/wiki/Q59622898;wikidata.org/wiki/Q59624165;wikidata.org/wiki/Q634781;wikidata.org/wiki/Q96738191;wikidata.org/wiki/Q7825042;wikidata.org/wiki/Q4652175;wikidata.org/wiki/Q55871579;wikidata.org/wiki/Q16910990;wikidata.org/wiki/Q7825777
quantum field theory,1,wikidata.org/wiki/Q54505;wikidata.org/wiki/Q602011;wikidata.org/wiki/Q257189;wikidata.org/wiki/Q721094;wikidata.org/wiki/Q56350851;wikidata.org/wiki/Q7783068;wikidata.org/wiki/Q59547537;wikidata.org/wiki/Q59572702;wikidata.org/wiki/Q5164498;wikidata.org/wiki/Q59623400
quantum field,1,wikidata.org/wiki/Q54505;wikidata.org/wiki/Q602011;wikidata.org/wiki/Q257189;wikidata.org/wiki/Q721094;wikidata.org/wiki/Q56350851;wikidata.org/wiki/Q59547537;wikidata.org/wiki/Q59572702;wikidata.org/wiki/Q5164498;wikidata.org/wiki/Q59623400;wikidata.org/wiki/Q7783068
field theory,4,wikidata.org/wiki/Q54505;wikidata.org/wiki/Q903820;wikidata.org/wiki/Q1262328;wikidata.org/wiki/Q1402884;wikidata.org/wiki/Q1080745;wikidata.org/wiki/Q5979196;wikidata.org/wiki/Q602011;wikidata.org/wiki/Q17361892;wikidata.org/wiki/Q7812117;wikidata.org/wiki/Q6556124
commutative Frobenius algebra,1,wikidata.org/wiki/Q105666614;wikidata.org/wiki/Q769124
Frobenius algebra,4,wikidata.org/wiki/Q5505100;wikidata.org/wiki/Q1361031;wikidata.org/wiki/Q59516715;wikidata.org/wiki/Q114935555;wikidata.org/wiki/Q105666614;wikidata.org/wiki/Q105454045;wikidata.org/wiki/Q112881620;wikidata.org/wiki/Q7269429;wikidata.org/wiki/Q769124;wikidata.org/wiki/Q2071632
2d tqft,1,wikidata.org/wiki/Q114021396;wikidata.org/wiki/Q110918430
adjoint monad,1,wikidata.org/wiki/Q114155508;wikidata.org/wiki/Q56687242
free completion,1,wikidata.org/wiki/Q28974869;wikidata.org/wiki/Q113888095;wikidata.org/wiki/Q28975605;wikidata.org/wiki/Q33838095;wikidata.org/wiki/Q71537003;wikidata.org/wiki/Q116551501;wikidata.org/wiki/Q70174834;wikidata.org/wiki/Q50763936;wikidata.org/wiki/Q46326277;wikidata.org/wiki/Q51910979
Moore object,3,wikidata.org/wiki/Q106769705;wikidata.org/wiki/Q102036723;wikidata.org/wiki/Q108693989;wikidata.org/wiki/Q102971147;wikidata.org/wiki/Q106772561;wikidata.org/wiki/Q106771140;wikidata.org/wiki/Q106767113;wikidata.org/wiki/Q103917022;wikidata.org/wiki/Q106771296;wikidata.org/wiki/Q106768713
powerful result,1,wikidata.org/wiki/Q115837584;wikidata.org/wiki/Q72337458;wikidata.org/wiki/Q77099754;wikidata.org/wiki/Q21159195;wikidata.org/wiki/Q52298818;wikidata.org/wiki/Q91858873;wikidata.org/wiki/Q53598128;wikidata.org/wiki/Q36320407;wikidata.org/wiki/Q58915723;wikidata.org/wiki/Q89208298
Frobenius pseudomonoid,2,wikidata.org/wiki/Q56687283
pseudo ambijunction,2,
usual axiom,2,
coherent isomorphism,2,wikidata.org/wiki/Q85753249
s - homotopy,2,wikidata.org/wiki/Q106884120;wikidata.org/wiki/Q7446189;wikidata.org/wiki/Q4975963;wikidata.org/wiki/Q1467124;wikidata.org/wiki/Q5764405;wikidata.org/wiki/Q61249016;wikidata.org/wiki/Q57430775;wikidata.org/wiki/Q33745683;wikidata.org/wiki/Q56235100;wikidata.org/wiki/Q56554883
full subcategory,21,wikidata.org/wiki/Q103927515;wikidata.org/wiki/Q6101219;wikidata.org/wiki/Q58697027
cofibrant homotopy,2,
homotopy continuous flow,2,wikidata.org/wiki/Q58907332
continuous flow,2,wikidata.org/wiki/Q12053157;wikidata.org/wiki/Q99531897;wikidata.org/wiki/Q57642329;wikidata.org/wiki/Q91246597;wikidata.org/wiki/Q27332193;wikidata.org/wiki/Q68598926;wikidata.org/wiki/Q66820122;wikidata.org/wiki/Q5165515;wikidata.org/wiki/Q5500876;wikidata.org/wiki/Q2287074
nice feature,1,wikidata.org/wiki/Q58344510;wikidata.org/wiki/Q38487775;wikidata.org/wiki/Q48094994;wikidata.org/wiki/Q48094984;wikidata.org/wiki/Q33599336;wikidata.org/wiki/Q56793829;wikidata.org/wiki/Q59766724
dihomotopy type,1,
weak dihomotopy equivalence,1,
weak dihomotopy,2,
dihomotopy equivalence,1,
full dihomotopy relation,1,
full dihomotopy,1,
dihomotopy relation,1,
previous work,1,wikidata.org/wiki/Q111223304;wikidata.org/wiki/Q111241092;wikidata.org/wiki/Q111241100;wikidata.org/wiki/Q111241357;wikidata.org/wiki/Q37770583;wikidata.org/wiki/Q72196359;wikidata.org/wiki/Q38225414;wikidata.org/wiki/Q36694259;wikidata.org/wiki/Q37952344;wikidata.org/wiki/Q188914
model structure,46,wikidata.org/wiki/Q3621696;wikidata.org/wiki/Q6728227;wikidata.org/wiki/Q899656;wikidata.org/wiki/Q84935275;wikidata.org/wiki/Q189156;wikidata.org/wiki/Q1406710;wikidata.org/wiki/Q75290919;wikidata.org/wiki/Q219908;wikidata.org/wiki/Q1048589;wikidata.org/wiki/Q908902
weak equivalence,27,wikidata.org/wiki/Q1941896;wikidata.org/wiki/Q20878207;wikidata.org/wiki/Q91264225;wikidata.org/wiki/Q7977945;wikidata.org/wiki/Q20093075;wikidata.org/wiki/Q4903541;wikidata.org/wiki/Q59024749;wikidata.org/wiki/Q74495961;wikidata.org/wiki/Q59039358;wikidata.org/wiki/Q60720889
weak dihomotopy equivalence,1,
dihomotopy equivalence,1,
general result,6,wikidata.org/wiki/Q55869235;wikidata.org/wiki/Q77844598;wikidata.org/wiki/Q166543;wikidata.org/wiki/Q74524553;wikidata.org/wiki/Q74617709;wikidata.org/wiki/Q28258732;wikidata.org/wiki/Q59061374;wikidata.org/wiki/Q62590893;wikidata.org/wiki/Q74763000;wikidata.org/wiki/Q2134013
weak factorization system,1,wikidata.org/wiki/Q114020815;wikidata.org/wiki/Q59472903;wikidata.org/wiki/Q59472905
weak factorization,4,wikidata.org/wiki/Q60145521;wikidata.org/wiki/Q114020815;wikidata.org/wiki/Q69178435;wikidata.org/wiki/Q78099422;wikidata.org/wiki/Q58312545;wikidata.org/wiki/Q38384876;wikidata.org/wiki/Q59472903;wikidata.org/wiki/Q59472905;wikidata.org/wiki/Q114087793;wikidata.org/wiki/Q114227534
pointed protomodular category,1,
protomodular category c,1,
protomodular category,7,
category c,1,wikidata.org/wiki/Q217413;wikidata.org/wiki/Q81488759;wikidata.org/wiki/Q61;wikidata.org/wiki/Q116124471;wikidata.org/wiki/Q1022293;wikidata.org/wiki/Q1543;wikidata.org/wiki/Q25267;wikidata.org/wiki/Q128446;wikidata.org/wiki/Q333886;wikidata.org/wiki/Q166032
pointed protomodular category,1,
protomodular category ⁢,1,
protomodular category,8,
category ⁢ g,2,wikidata.org/wiki/Q52933955;wikidata.org/wiki/Q5728362;wikidata.org/wiki/Q108699588;wikidata.org/wiki/Q48655;wikidata.org/wiki/Q60561635;wikidata.org/wiki/Q61009596;wikidata.org/wiki/Q145;wikidata.org/wiki/Q235687;wikidata.org/wiki/Q435731;wikidata.org/wiki/Q130365
category ⁢,20,wikidata.org/wiki/Q4167836;wikidata.org/wiki/Q217413;wikidata.org/wiki/Q6641911;wikidata.org/wiki/Q7085480;wikidata.org/wiki/Q6641539;wikidata.org/wiki/Q7055794;wikidata.org/wiki/Q7055755;wikidata.org/wiki/Q7085378;wikidata.org/wiki/Q6640950;wikidata.org/wiki/Q6641214
⁢ g p,2,wikidata.org/wiki/Q3093062;wikidata.org/wiki/Q64866847;wikidata.org/wiki/Q5512388;wikidata.org/wiki/Q21504273;wikidata.org/wiki/Q733439;wikidata.org/wiki/Q212405;wikidata.org/wiki/Q66679700;wikidata.org/wiki/Q86830939;wikidata.org/wiki/Q63983726;wikidata.org/wiki/Q43419015
⁢ g,7,wikidata.org/wiki/Q41803;wikidata.org/wiki/Q38173;wikidata.org/wiki/Q42511;wikidata.org/wiki/Q192940;wikidata.org/wiki/Q9739;wikidata.org/wiki/Q145;wikidata.org/wiki/Q5728362;wikidata.org/wiki/Q48655;wikidata.org/wiki/Q207515;wikidata.org/wiki/Q130365
g p,2,wikidata.org/wiki/Q3093062;wikidata.org/wiki/Q64866847;wikidata.org/wiki/Q5512388;wikidata.org/wiki/Q5511911;wikidata.org/wiki/Q21504273;wikidata.org/wiki/Q733439;wikidata.org/wiki/Q212405;wikidata.org/wiki/Q66679700;wikidata.org/wiki/Q86830939;wikidata.org/wiki/Q63983726
slice category,4,wikidata.org/wiki/Q2561438;wikidata.org/wiki/Q48816551;wikidata.org/wiki/Q459971;wikidata.org/wiki/Q110966462;wikidata.org/wiki/Q7540223;wikidata.org/wiki/Q12491;wikidata.org/wiki/Q7440003;wikidata.org/wiki/Q28043781;wikidata.org/wiki/Q289005;wikidata.org/wiki/Q21856533
affine category,1,wikidata.org/wiki/Q382497;wikidata.org/wiki/Q11035154;wikidata.org/wiki/Q7214705;wikidata.org/wiki/Q2258518;wikidata.org/wiki/Q5392219;wikidata.org/wiki/Q15382787;wikidata.org/wiki/Q3137428;wikidata.org/wiki/Q6648091;wikidata.org/wiki/Q13437328;wikidata.org/wiki/Q15575372
internal construction,1,wikidata.org/wiki/Q73066713;wikidata.org/wiki/Q93582324;wikidata.org/wiki/Q42788167;wikidata.org/wiki/Q110040577;wikidata.org/wiki/Q1860557;wikidata.org/wiki/Q19091816;wikidata.org/wiki/Q3075281;wikidata.org/wiki/Q7494932;wikidata.org/wiki/Q60787965;wikidata.org/wiki/Q18891422
object x,12,wikidata.org/wiki/Q17119199;wikidata.org/wiki/Q2154519;wikidata.org/wiki/Q121769;wikidata.org/wiki/Q5961;wikidata.org/wiki/Q386320;wikidata.org/wiki/Q3045304;wikidata.org/wiki/Q44316;wikidata.org/wiki/Q1368;wikidata.org/wiki/Q1407562;wikidata.org/wiki/Q234460;wikidata.org/wiki/Q17119199;wikidata.org/wiki/Q2154519;wikidata.org/wiki/Q121769;wikidata.org/wiki/Q5961;wikidata.org/wiki/Q386320;wikidata.org/wiki/Q3045304;wikidata.org/wiki/Q44316;wikidata.org/wiki/Q1368;wikidata.org/wiki/Q1407562;wikidata.org/wiki/Q234460
specific characterization,1,wikidata.org/wiki/Q37724249;wikidata.org/wiki/Q82222520;wikidata.org/wiki/Q28295500;wikidata.org/wiki/Q36736371;wikidata.org/wiki/Q35727043;wikidata.org/wiki/Q70094895;wikidata.org/wiki/Q74457965;wikidata.org/wiki/Q62796614;wikidata.org/wiki/Q45389826;wikidata.org/wiki/Q71680956
abelian object,1,wikidata.org/wiki/Q65549011;wikidata.org/wiki/Q61795032;wikidata.org/wiki/Q4677987
generalized congruence,1,wikidata.org/wiki/Q59216102;wikidata.org/wiki/Q114214495;wikidata.org/wiki/Q114218135;wikidata.org/wiki/Q35197500
