candidate,frequency,links
state sum,1,wikidata.org/wiki/Q60308781;wikidata.org/wiki/Q55968135;wikidata.org/wiki/Q59607582;wikidata.org/wiki/Q66965164;wikidata.org/wiki/Q77881132;wikidata.org/wiki/Q98597734;wikidata.org/wiki/Q35457092;wikidata.org/wiki/Q1131600;wikidata.org/wiki/Q65993702;wikidata.org/wiki/Q1045
sum construction,1,wikidata.org/wiki/Q65038110;wikidata.org/wiki/Q811705;wikidata.org/wiki/Q692689;wikidata.org/wiki/Q67173031;wikidata.org/wiki/Q115355990;wikidata.org/wiki/Q26327621;wikidata.org/wiki/Q79582953;wikidata.org/wiki/Q49074490;wikidata.org/wiki/Q84413788;wikidata.org/wiki/Q50622224
general setting,2,wikidata.org/wiki/Q74487038;wikidata.org/wiki/Q71015542;wikidata.org/wiki/Q56138616;wikidata.org/wiki/Q58528880;wikidata.org/wiki/Q82164412;wikidata.org/wiki/Q59051723;wikidata.org/wiki/Q58062941;wikidata.org/wiki/Q60696515;wikidata.org/wiki/Q6500773;wikidata.org/wiki/Q51892066
ribbon tensor category,1,
ribbon tensor,1,
tensor category,1,wikidata.org/wiki/Q55877599;wikidata.org/wiki/Q59410249;wikidata.org/wiki/Q55919894;wikidata.org/wiki/Q57090042;wikidata.org/wiki/Q111636997;wikidata.org/wiki/Q29031924;wikidata.org/wiki/Q33936615;wikidata.org/wiki/Q114039858;wikidata.org/wiki/Q33936705;wikidata.org/wiki/Q114073232
Morita equivalence,7,wikidata.org/wiki/Q6912366;wikidata.org/wiki/Q78210893;wikidata.org/wiki/Q58705666;wikidata.org/wiki/Q60143375;wikidata.org/wiki/Q57726827;wikidata.org/wiki/Q115199636;wikidata.org/wiki/Q115163821;wikidata.org/wiki/Q56285855;wikidata.org/wiki/Q114233771;wikidata.org/wiki/Q114845159
isomorphic orbifold,1,
Yamagami category,1,wikidata.org/wiki/Q11465856;wikidata.org/wiki/Q11470801;wikidata.org/wiki/Q64481804;wikidata.org/wiki/Q24869317;wikidata.org/wiki/Q51876797
particular example,1,wikidata.org/wiki/Q2976603;wikidata.org/wiki/Q1725409;wikidata.org/wiki/Q112859333;wikidata.org/wiki/Q908074;wikidata.org/wiki/Q21503252;wikidata.org/wiki/Q1141237;wikidata.org/wiki/Q106916265;wikidata.org/wiki/Q22289311;wikidata.org/wiki/Q18710;wikidata.org/wiki/Q46079868
extension map u,1,wikidata.org/wiki/Q101290603;wikidata.org/wiki/Q43217591;wikidata.org/wiki/Q52041775
extension map,1,wikidata.org/wiki/Q20321413;wikidata.org/wiki/Q20344410;wikidata.org/wiki/Q21678829;wikidata.org/wiki/Q21677067;wikidata.org/wiki/Q22729786;wikidata.org/wiki/Q21677529;wikidata.org/wiki/Q6861974;wikidata.org/wiki/Q95996340;wikidata.org/wiki/Q21678485;wikidata.org/wiki/Q21679342
map u,1,wikidata.org/wiki/Q61842716;wikidata.org/wiki/Q116742152;wikidata.org/wiki/Q111528660;wikidata.org/wiki/Q27030844;wikidata.org/wiki/Q2790670;wikidata.org/wiki/Q110895251;wikidata.org/wiki/Q67222184;wikidata.org/wiki/Q97152435;wikidata.org/wiki/Q111528286;wikidata.org/wiki/Q67222237
arithmetic universe,1,
Chevalley criterion,1,
elementary topos,2,wikidata.org/wiki/Q113936655;wikidata.org/wiki/Q2143621;wikidata.org/wiki/Q114589109
classifier p,1,wikidata.org/wiki/Q63153;wikidata.org/wiki/Q1744627;wikidata.org/wiki/Q812530;wikidata.org/wiki/Q8269924;wikidata.org/wiki/Q4223017;wikidata.org/wiki/Q113573471;wikidata.org/wiki/Q57013542;wikidata.org/wiki/Q113568933;wikidata.org/wiki/Q1096149;wikidata.org/wiki/Q2116774
representable definition,1,wikidata.org/wiki/Q1396457;wikidata.org/wiki/Q1508788;wikidata.org/wiki/Q8819;wikidata.org/wiki/Q1045785;wikidata.org/wiki/Q2660357;wikidata.org/wiki/Q33951285;wikidata.org/wiki/Q92780862;wikidata.org/wiki/Q92781274;wikidata.org/wiki/Q36442775;wikidata.org/wiki/Q111718665
elementary topos,3,wikidata.org/wiki/Q2143621;wikidata.org/wiki/Q114589056
geometric morphism,5,wikidata.org/wiki/Q56533599;wikidata.org/wiki/Q110142054;wikidata.org/wiki/Q51318882;wikidata.org/wiki/Q53207803;wikidata.org/wiki/Q56533599;wikidata.org/wiki/Q110142054;wikidata.org/wiki/Q51318882;wikidata.org/wiki/Q53207803
monoidal closed model,2,
closed model category,3,wikidata.org/wiki/Q1941896;wikidata.org/wiki/Q20375283;wikidata.org/wiki/Q104215964
